country,confirmed,deaths,incident_rate,case_fatality_ratio,last_update,lat,long
India,8138129,148424,6608.616142715846,1.8238098707946262,2023-03-10 04:21:03,19.449759,76.108221
India,139924,2149,4526.021778754635,1.5358337383150853,2023-03-10 04:21:03,24.738975,93.882541
India,96788,1625,2874.8540860365165,1.6789271397280654,2023-03-10 04:21:03,25.536934,91.278882
India,238969,726,19283.450232561143,0.30380509605848455,2023-03-10 04:21:03,23.309381,92.83822
India,35988,782,1599.6835126539374,2.1729465377348003,2023-03-10 04:21:03,26.06702,94.470302
India,1336717,9205,2883.569265852645,0.6886274357249889,2023-03-10 04:21:03,20.505428,84.418059
India,175872,1975,12441.936638600057,1.1229758005822417,2023-03-10 04:21:03,11.882658,78.86498
India,785724,19289,2606.7956492891017,2.45493328446121,2023-03-10 04:21:03,30.841465,75.40879
India,1315637,9656,1623.5879818822252,0.7339410490887684,2023-03-10 04:21:03,26.583423,73.847973
India,44325,500,6421.577078483045,1.1280315848843767,2023-03-10 04:21:03,27.571671,88.472712
